global_reward,step_reward,QoE,buffer_size,rebuffer_event,rate_switch_event,bitrate
-14.362493413318532,[-16.06180816],4,16.47837402901056,0.0,0.0,1.0
-4.6665606620611975,[-12.4889536],3,17.414545615713436,0.0,1.0,2.0
-0.7141841812325787,[0.88022476],8,17.491659016471214,0.0,0.0,2.0
0.001310866400643984,[-1.36118445],7,18.329047242366936,0.0,1.0,3.0
-4.831252362919559,[-2.00888275],12,18.543538164344575,0.0,0.0,3.0
-3.9975276604369125,[-3.67710876],11,19.094710757620863,0.0,1.0,4.0
-7.973530266520987,[-3.29255853],15,18.75489025041942,0.0,1.0,3.0
-3.727726204299294,[-4.64039564],11,19.441890681389747,0.0,1.0,4.0
-7.466245997749267,[-3.52325918],16,19.396005586194185,0.0,0.0,4.0
-6.264381971957516,[-0.96080294],15,18.548032197917212,0.0,1.0,3.0
-3.417439899034021,[-0.65783851],12,18.53852161439442,0.0,0.0,3.0
-4.70231858824148,[-3.60156578],11,17.44335821399831,0.0,1.0,2.0
-2.928161238650869,[-1.7169781],8,17.78866294358779,0.0,0.0,2.0
-3.999971897548251,[-3.09949151],8,17.94491240887744,0.0,0.0,2.0
-0.21133238653007808,[0.11794533],7,17.423496427014726,0.0,1.0,1.0
-0.48495577239382814,[-4.12494451],3,18.078457548069053,0.0,1.0,2.0
-1.1134339911351967,[-0.22083289],8,18.25948234605333,0.0,0.0,2.0
-3.6043957571768095,[-4.56963407],8,18.836079532167847,0.0,0.0,2.0
-3.8865909590835788,[-2.16941114],8,19.010016235001192,0.0,0.0,2.0
-1.893598504122925,[-1.54741112],8,19.46736456624391,0.0,0.0,2.0
-3.815557169809938,[-3.25346977],8,19.946041306226583,0.0,0.0,2.0
-3.425454096076487,[-3.45078829],8,20,0,0,2
-4.810191900841758,[-5.93051103],7,20,0,1,3
-4.804078342529293,[-1.84110678],11,19.443478156925117,0.0,1.0,2.0
-3.6452711524714214,[-4.95869731],7,20,0,1,3
-4.744341847580989,[-0.82157279],12,19.79097589778725,0.0,0.0,3.0
-4.814082911961899,[-1.05170123],12,19.730861356499382,0.0,0.0,3.0
-3.871416971251171,[-1.60481184],12,20,0,0,3
