global_reward,step_reward,QoE,buffer_size,rebuffer_event,rate_switch_event,bitrate
-12.609523810091472,[-17.00000003],-2,17.483343004143904,0.0,1.0,2.0
-3.5996354671751254,[-6.2999153],7,17.175981215279137,0.0,1.0,1.0
-0.9564370166393625,[-3.30292036],4,17.679222486875293,0.0,0.0,1.0
-1.0631790458223742,[-4.65750642],4,17.71290451606467,0.0,0.0,1.0
-4.154201395978923,[-9.63247086],4,18.07357076046175,0.0,0.0,1.0
-7.969964816446846,[-13.24995622],4,18.19007102046985,0.0,0.0,1.0
-3.72585935981486,[-10.28902217],4,18.16813581346567,0.0,0.0,1.0
-7.474785736578743,[-14.37464753],4,18.637581213665253,0.0,0.0,1.0
-3.401468915833469,[-7.62382781],4,18.21805291326728,0.0,0.0,1.0
-4.70231858824148,[-10.2173205],4,17.760503275321305,0.0,0.0,1.0
-2.790594489086256,[-5.2920623],4,17.440066392986132,0.0,0.0,1.0
-4.003001607048059,[-6.7381996],4,17.064537080546923,0.0,0.0,1.0
-0.2740152629864106,[-2.95109799],4,17.54679811900216,0.0,0.0,1.0
-4.787216682530768,[-8.95511546],4,17.115223410790584,0.0,0.0,1.0
-3.6976885192271025,[-6.85807446],4,16.788928019026024,0.0,0.0,1.0
-1.0365881694226025,[-3.13573205],4,16.44864954098905,0.0,0.0,1.0
-1.9573861501633816,[-6.34573962],3,17.107621083168667,0.0,1.0,2.0
-3.664751926288018,[-4.10221364],7,16.75529520655685,0.0,1.0,1.0
-1.869508941851997,[-8.17523667],2,17.899148799222324,0.0,1.0,3.0
-4.624024430302677,[-1.77391014],11,17.198853580373694,0.0,1.0,2.0
-2.676656747507472,[-2.62102327],8,17.536502347943294,0.0,0.0,2.0
-4.984765347419345,[-5.28918331],7,15.79228627861041,0.0,1.0,1.0
-3.449247885459102,[-7.3258248],4,15.37235624077087,0.0,0.0,1.0
-4.528451826642648,[-8.13725823],4,14.992705358798455,0.0,0.0,1.0
-3.853082599127241,[-8.03567748],4,14.515293031755423,0.0,0.0,1.0
-6.274773145975294,[-11.56384947],4,14.055166033056071,0.0,0.0,1.0
-6.509616476826009,[-10.15203746],4,13.722831205402509,0.0,0.0,1.0
-4.837729461558663,[-9.28644159],4,13.283987205032155,0.0,0.0,1.0
-3.6447416503500847,[-8.28644159],4,12.731829791587487,0.0,0.0,1.0
-7.295288608698172,[-13.78539451],4,12.220166321674538,0.0,0.0,1.0
-7.489258690986661,[-12.31285562],4,11.699725924399537,0.0,0.0,1.0
-8.617797945047636,[-12.3649409],4,11.215253186338565,0.0,0.0,1.0
-9.188659278406274,[-12.1385466],4,10.851828412853939,0.0,0.0,1.0
-2.694887634014724,[-5.79702893],4,10.532569097648711,0.0,0.0,1.0
-2.011885261845927,[-4.93225625],4,10.254346579315497,0.0,0.0,1.0
-7.333438903323406,[-8.12888309],4,10.005715764392125,0.0,0.0,1.0
-1.8280752627898775,[-2.3989277],4,9.710747153010715,0.0,0.0,1.0
-4.4534853875097,[-7.22216934],4,9.399795343423758,0.0,0.0,1.0
-9.217151370547933,[-12.56034563],4,9.08441918605984,0.0,0.0,1.0
-5.121134595448813,[-8.34223649],4,8.770999143302902,0.0,0.0,1.0
-3.883600403450474,[-6.80094889],4,8.456169701729833,0.0,0.0,1.0
-9.07957776835012,[-10.54446503],4,8.634395741231947,0.0,0.0,1.0
-2.1043486667827467,[-5.81260879],4,8.810017501896473,0.0,0.0,1.0
-5.013260791125478,[-9.16291324],4,8.28909333798996,0.0,0.0,1.0
-4.801726851655504,[-9.16291324],4,7.821067900623765,0.0,0.0,1.0
-9.011408029932516,[-12.89694363],4,7.304798016335776,0.0,0.0,1.0
-3.106600317236037,[-8.19824111],4,6.788643205133729,0.0,0.0,1.0
-9.392423644776178,[-13.47903681],4,6.391837388247733,0.0,0.0,1.0
-9.955798729518033,[-12.9659692],4,6.015262620552508,0.0,0.0,1.0
-9.403285611078617,[-13.66575819],4,5.5911706301660296,0.0,0.0,1.0
-3.9580340666749656,[-8.66575819],4,5.2089805027231275,0.0,0.0,1.0
-9.608902623262527,[-12.13731191],4,5.402093966550895,0.0,0.0,1.0
-8.394172585531646,[-10.56530678],4,5.1205179471779925,0.0,0.0,1.0
-5.386697906515448,[-6.86868101],4,4.858736922333096,0.0,0.0,1.0
-4.574970627351924,[-6.66257027],4,5.158664117731332,0.0,0.0,1.0
-5.7663640038155775,[-8.35489366],3,5.790341733512558,0.0,1.0,2.0
-4.863895449168354,[-2.26235034],7,4.9025240770837435,0.0,1.0,1.0
-4.839270457544065,[-7.67676712],3,5.751952882851365,0.0,1.0,2.0
-4.846323110584529,[-3.85282273],8,6.165439702115913,0.0,0.0,2.0
-0.8148666430844534,[0.45679278],8,5.9611380767047,0.0,0.0,2.0
-5.452457472483139,[-5.89833748],7,4.249556745173922,0.0,1.0,1.0
-7.9040541694734925,[-11.71203058],3,4.910882048999923,0.0,1.0,2.0
1.087063638637348,[0.28925002],7,4.574725023563126,0.0,1.0,1.0
-9.817908464202183,[-13.1907204],3,5.2013019396882,0.0,1.0,2.0
-7.875565707993952,[-7.56397255],7,4.6654450612700415,0.0,1.0,1.0
-5.661726693356633,[-8.72834456],3,5.33348904010298,0.0,1.0,2.0
-5.9522941737520805,[-4.57752002],7,4.716246754241379,0.0,1.0,1.0
-5.28997029645017,[-8.93635852],3,5.284644718845948,0.0,1.0,2.0
