global_reward,step_reward,QoE,buffer_size,rebuffer_event,rate_switch_event,bitrate
-11.095238096657253,[-4.00000003],11,14.410912882038474,0.0,1.0,2.0
-5.42846542396596,[-8.07116288],7,12.979879804413962,0.0,1.0,1.0
-0.8111144254059075,[-3.07116288],4,12.611729099146434,0.0,0.0,1.0
-1.1360250873849047,[-2.78929407],4,12.26470234268874,0.0,0.0,1.0
-1.0598537613022811,[-4.62238671],4,12.154972343668407,0.0,0.0,1.0
-3.61947251923844,[-8.16035054],4,12.15959120637185,0.0,0.0,1.0
-4.1507135700333695,[-9.42168701],4,11.656298264847917,0.0,0.0,1.0
-7.524413469911397,[-13.11404682],4,11.171194385978245,0.0,0.0,1.0
-2.705456821132825,[-9.19231651],4,10.590320423743618,0.0,0.0,1.0
-3.417439899034021,[-7.8612297],4,10.134648876001691,0.0,0.0,1.0
-4.6394860715657025,[-8.62382781],4,9.719228089163819,0.0,0.0,1.0
-3.497540239251012,[-9.2173205],4,9.301521751149792,0.0,0.0,1.0
-2.9275468499272033,[-5.2920623],4,8.999643934550948,0.0,0.0,1.0
-1.1740674743231152,[-3.7381996],4,8.676635332430072,0.0,0.0,1.0
-0.48495577239382814,[-2.83461088],4,8.290490633219127,0.0,0.0,1.0
-4.654497558195104,[-8.95511546],4,7.837421313095371,0.0,0.0,1.0
-3.6976885192271025,[-6.85807446],4,7.514885414060579,0.0,0.0,1.0
-1.0365881694226025,[-3.13573205],4,7.178389254423569,0.0,0.0,1.0
-1.8846780353659298,[-5.00619905],4,6.745170005087712,0.0,0.0,1.0
-3.814153270658202,[-6.56484829],4,6.249970222287147,0.0,0.0,1.0
-0.6038185634605633,[-3.86068029],4,5.804575190506332,0.0,0.0,1.0
-4.619447496083556,[-8.28384419],4,5.554165674070028,0.0,0.0,1.0
-2.536733048563886,[-6.15138118],4,5.157592202142925,0.0,0.0,1.0
-4.531431630098528,[-8.55866687],4,5.584698583372619,0.0,0.0,1.0
-3.6342579389858667,[-7.88850578],4,5.182389865835472,0.0,0.0,1.0
-3.90582380836374,[-6.93149004],4,4.815565163634165,0.0,0.0,1.0
-4.811891212527131,[-8.13725823],4,4.445466287128451,0.0,0.0,1.0
-3.849787347276681,[-8.03567748],4,3.9803245575259845,0.0,0.0,1.0
-3.502842619196512,[-9.73547328],4,3.4298924108698317,0.0,0.0,1.0
-6.441176552761751,[-11.56384947],4,3.0341174825156823,0.0,0.0,1.0
-5.307103391549407,[-8.13883585],4,2.616312473502345,0.0,0.0,1.0
-4.891197977573971,[-9.28644159],4,2.047313850496009,0.0,0.0,1.0
-3.573805430430105,[-9.87912229],4,1.4383361723430128,0.0,0.0,1.0
-12.987726802740527,[-23.78539451],-1,4,1,0,1
-12.758350977120823,[-18.78539451],4,3.405896210057827,0.0,0.0,1.0
-7.489258690986661,[-12.31285562],4,2.889532224893365,0.0,0.0,1.0
-9.188659278406274,[-12.1385466],4,2.529927553331603,0.0,0.0,1.0
