global_reward,step_reward,QoE,buffer_size,rebuffer_event,rate_switch_event,bitrate
-11.762493415021522,[-16.04944653],4,16.173529427468466,0.0,0.0,1.0
-9.972017226248322,[-14.44944651],4,16.06987408488769,0.0,0.0,1.0
-1.1427556098040075,[-2.78929407],4,15.783104627381535,0.0,0.0,1.0
-1.0590029482840175,[-4.56894756],4,15.468479148092456,0.0,0.0,1.0
-3.6185294145888935,[-8.0871062],4,15.182720258680279,0.0,0.0,1.0
-4.154201395978923,[-9.42168701],4,14.752699043075486,0.0,0.0,1.0
-7.7182356852884215,[-13.11404682],4,14.3406113763825,0.0,0.0,1.0
-7.466245997749267,[-14.09860735],4,13.846730611513669,0.0,0.0,1.0
-6.264381971957516,[-11.04864235],4,13.380469025365723,0.0,0.0,1.0
-4.637055555708708,[-8.62382781],4,13.049778051791376,0.0,0.0,1.0
-3.497540239251012,[-9.2173205],4,12.710982038634864,0.0,0.0,1.0
-2.6525088673740194,[-5.2920623],4,12.458303765108251,0.0,0.0,1.0
-4.003001607048059,[-6.7381996],4,12.164008151683065,0.0,0.0,1.0
-0.2740152629864106,[-2.7381996],4,11.905366513476077,0.0,0.0,1.0
-0.281277621167045,[-2.83461088],4,11.629111207308778,0.0,0.0,1.0
-4.654497558195104,[-8.95511546],4,11.25611760197739,0.0,0.0,1.0
-3.6976885192271025,[-6.85807446],4,11.009355689274477,0.0,0.0,1.0
-1.0365881694226025,[-3.13573205],4,10.749093574822373,0.0,0.0,1.0
-1.8846780353659298,[-5.00619905],4,10.395295879331012,0.0,0.0,1.0
-3.815557169809938,[-6.68277582],4,9.978155312399245,0.0,0.0,1.0
-0.604451358659816,[-3.87396899],4,9.687893149506154,0.0,0.0,1.0
-4.757918696303492,[-8.24266574],4,9.295052972689579,0.0,0.0,1.0
-2.675849940373797,[-6.15138118],4,8.985764748669803,0.0,0.0,1.0
-4.99609818045028,[-8.52717281],4,9.49392900273235,0.0,0.0,1.0
-3.6459375320968235,[-7.999819],4,9.65875239610062,0.0,0.0,1.0
-4.739041218041207,[-8.13725823],4,9.311696331905075,0.0,0.0,1.0
-4.811891212527131,[-8.13725823],4,9.018938875936863,0.0,0.0,1.0
-3.502842619196512,[-9.73547328],4,8.551791054306134,0.0,0.0,1.0
-6.509616476826009,[-10.15203746],4,8.2991982683583,0.0,0.0,1.0
-4.886256213729667,[-9.28644159],4,7.826081207424461,0.0,0.0,1.0
-2.6060068862799124,[-8.87912229],4,7.3397098575134585,0.0,0.0,1.0
-13.234828354156534,[-18.78539451],4,6.829633777706729,0.0,0.0,1.0
-7.489258690986661,[-12.31285562],4,6.3954313932381215,0.0,0.0,1.0
-8.639624405735677,[-12.3649409],4,6.058510104492951,0.0,0.0,1.0
-2.694887634014724,[-5.79702893],4,5.818541288343594,0.0,0.0,1.0
-2.011885261845927,[-4.99642542],4,5.925538531269435,0.0,0.0,1.0
-1.8280752627898775,[-2.3989277],4,5.709021577895969,0.0,0.0,1.0
-4.4534853875097,[-7.22216934],4,5.477073380656401,0.0,0.0,1.0
-9.45524660864317,[-12.56034563],4,5.2408536235502785,0.0,0.0,1.0
-4.97827745259167,[-8.34223649],4,5.006522429696579,0.0,0.0,1.0
