global_reward,step_reward,QoE,buffer_size,rebuffer_event,rate_switch_event,bitrate
-10.276190478177297,[-5.00000003],10,14.166539180729432,0.0,1.0,1.0
-6.3018907943167815,[-11.27175469],4,14.652296975552206,0.0,0.0,1.0
0.010862857189505915,[-3.56894756],4,14.314802709365306,0.0,0.0,1.0
-4.839457410562368,[-9.0871062],4,13.874966044527834,0.0,0.0,1.0
-7.973530266520987,[-13.11404682],4,13.337708363008131,0.0,0.0,1.0
-3.727726204299294,[-10.19231651],4,12.819789046798682,0.0,0.0,1.0
-7.466245997749267,[-14.09860735],4,12.241076119200773,0.0,0.0,1.0
-6.264381971957516,[-11.04864235],4,11.690930705201403,0.0,0.0,1.0
-4.4941984128515635,[-8.62382781],4,11.281010850890887,0.0,0.0,1.0
-4.855472565073776,[-8.76240755],4,11.44540568997717,0.0,0.0,1.0
-2.921883783885878,[-5.2920623],4,11.157166356936848,0.0,0.0,1.0
-3.999971897548251,[-6.7381996],4,10.792491889886632,0.0,0.0,1.0
-0.2740152629864106,[-2.7381996],4,10.457095239875692,0.0,0.0,1.0
-0.34696311584089007,[-2.83461088],4,10.058158461577703,0.0,0.0,1.0
-4.798626884889998,[-9.19472971],4,10.530850074788107,0.0,0.0,1.0
-3.6976885192271025,[-8.1009856],3,11.094723606986397,0.0,1.0,2.0
-1.8846780353659298,[-1.51571363],8,11.479455442409616,0.0,0.0,2.0
-2.0486524001100728,[-1.41182387],8,11.610831787987173,0.0,0.0,2.0
-3.650623456185949,[-3.68277582],7,9.874847499445282,0.0,1.0,1.0
-2.0123660847091402,[-5.42018934],4,9.359623438333811,0.0,0.0,1.0
-4.758551491502745,[-8.24266574],4,8.883832999555672,0.0,0.0,1.0
-2.536733048563886,[-6.15138118],4,8.486667945969346,0.0,0.0,1.0
-4.9595102084734926,[-8.28918331],4,7.984581005058507,0.0,0.0,1.0
-4.531431630098528,[-8.3258248],4,7.481257698849412,0.0,0.0,1.0
-3.645345656629557,[-7.88850578],4,7.05054123314224,0.0,0.0,1.0
-4.744341847580989,[-8.13725823],4,6.610397183091951,0.0,0.0,1.0
