global_reward,step_reward,QoE,buffer_size,rebuffer_event,rate_switch_event,bitrate
-10.505350559013992,[-10.04944653],10,14.0,0.0,1.0,1.0
-2.587605080031068,[-6.07116288],4,13.711964226583143,0.0,0.0,1.0
-1.1360250873849047,[-2.78929407],4,13.36213106941986,0.0,0.0,1.0
-1.0598537613022811,[-4.56894756],4,12.964420974030498,0.0,0.0,1.0
-3.6185294145888935,[-8.0871062],4,12.59873363693224,0.0,0.0,1.0
-4.148381158190615,[-9.42168701],4,12.098302276542487,0.0,0.0,1.0
-7.973530266520987,[-13.11404682],4,11.558635705578201,0.0,0.0,1.0
-3.727726204299294,[-10.19231651],4,11.038326029627623,0.0,0.0,1.0
-7.466245997749267,[-14.09860735],4,10.457164490797036,0.0,0.0,1.0
-3.417439899034021,[-7.8612297],4,9.998555334541795,0.0,0.0,1.0
-4.6394860715657025,[-8.62382781],4,9.580245549192684,0.0,0.0,1.0
-3.502336808494527,[-9.2173205],4,9.147603213460364,0.0,0.0,1.0
-2.921883783885878,[-5.2920623],4,8.857193594896634,0.0,0.0,1.0
-3.999971897548251,[-6.7381996],4,8.490275604188312,0.0,0.0,1.0
-0.14514591384078274,[-4.10425173],3,9.082825734995847,0.0,1.0,2.0
-0.8852203289673661,[-0.31176482],8,9.404056950076022,0.0,0.0,2.0
-2.648412258813789,[-2.85807446],7,7.855799985360987,0.0,1.0,1.0
-2.1100778717315944,[-7.65774882],2,8.956475620584532,0.0,1.0,3.0
-3.6097549850256887,[0.00044767],11,7.98161938853466,0.0,1.0,2.0
-0.6038185634605633,[-0.90374407],7,6.60636719741532,0.0,1.0,1.0
-4.758551491502745,[-8.25960869],4,6.229922392073142,0.0,0.0,1.0
-2.675849940373797,[-6.15138118],4,5.839874503192393,0.0,0.0,1.0
-4.984765347419345,[-8.28918331],4,5.3915683277466915,0.0,0.0,1.0
-3.4509402455693188,[-7.36136436],4,5.168134112858292,0.0,0.0,1.0
-4.879487215896725,[-10.25060513],3,5.907984916162448,0.0,1.0,2.0
-4.532776583141692,[-5.16780025],7,4.517011268297209,0.0,1.0,1.0
-3.7768589007075497,[-7.62509823],4,4.11247266146075,0.0,0.0,1.0
-3.8566254416187373,[-8.11007717],4,4.020808956879198,0.0,0.0,1.0
-6.274773145975294,[-11.56384947],4,3.5617217301017967,0.0,0.0,1.0
-5.009832125771682,[-9.51084049],3,4.334336885001468,0.0,1.0,2.0
-4.886256213729667,[-5.81487653],8,4.6699004597981135,0.0,0.0,2.0
-3.7811713032022065,[-9.24890286],6,5.7819681406950565,0.0,1.0,4.0
-7.128700603149488,[-3.13174313],16,5.604575700088602,0.0,0.0,4.0
-11.985033174769377,[-6.63060048],15,4.822433815506562,0.0,1.0,3.0
-4.620596182047223,[-1.04957754],12,4.521971772019331,0.0,0.0,3.0
-8.342578756941608,[-3.1166933],11,3.4378334392753653,0.0,1.0,2.0
-1.8732565243551353,[-2.56532031],7,4.106688524692268,0.0,1.0,3.0
-7.338107138577925,[-2.31110387],10,2.1714076432421363,0.0,1.0,1.0
-2.0053772832223355,[-3.5413507],3,2.74085639978421,0.0,1.0,2.0
-4.308624612006104,[-4.92771168],7,3.4900181226151927,0.0,1.0,3.0
-9.161108814999892,[-5.35043203],12,3.5678916623450343,0.0,0.0,3.0
-9.214554833176944,[-5.07779561],12,3.537302038972026,0.0,0.0,3.0
-3.883600403450474,[0.59881389],12,3.2173798833602927,0.0,0.0,3.0
-2.9206459879535873,[1.36520969],11,1.9444880070524828,0.0,1.0,2.0
-6.532419390284891,[-11.48020995],2,4,1,1,3
-7.6656399463469995,[-4.4372374],11,3.5250013984807747,0.0,1.0,2.0
-5.020329402129163,[-7.10364155],7,4.394086223721766,0.0,1.0,3.0
-8.56046530865136,[-5.77117954],12,4.470436978694977,0.0,0.0,3.0
-8.347084700535184,[-6.0022759],12,4.378408255080629,0.0,0.0,3.0
-8.911814195335522,[-6.76030595],11,2.8369284965179524,0.0,1.0,2.0
-9.717703491422794,[-9.54454274],8,3.374752074905194,0.0,0.0,2.0
-9.433715260526522,[-10.88335436],7,3.0316676433927787,0.0,1.0,1.0
-9.603331852426784,[-12.02032572],4,2.7041416378236236,0.0,0.0,1.0
-8.394172585531646,[-10.56530678],4,2.423529206747687,0.0,0.0,1.0
-5.5653100977473375,[-6.91799144],4,2.4399194203786165,0.0,0.0,1.0
-4.869881178142169,[-5.92030602],4,2.1605170093931467,0.0,0.0,1.0
-4.574970627351924,[-6.53333533],4,1.9042066277210208,0.0,0.0,1.0
-5.774962275221426,[-12.09894655],-1,4,1,0,1
-4.693832317754045,[-7.273738],3,4.816314540073354,0.0,1.0,2.0
-1.2808062448647628,[-0.28697089],7,3.216827575818277,0.0,1.0,1.0
-4.989180253441671,[-7.36225819],4,2.877007577830182,0.0,0.0,1.0
-1.0208747362585013,[-4.89833748],4,2.4576022789106045,0.0,0.0,1.0
-5.690552710578377,[-8.89833748],4,2.0306355521353048,0.0,0.0,1.0
-0.9826237584566315,[-3.41052565],4,1.7072790292787605,0.0,0.0,1.0
-4.349981332968984,[-12.48913388],-1,4,1,0,1
-9.386051881234673,[-11.90011606],4,3.6202065231826785,0.0,0.0,1.0
-8.275602564684641,[-10.41290245],4,3.2786086610113685,0.0,0.0,1.0
-3.702142994385775,[-6.4386154],4,2.9421106719015526,0.0,0.0,1.0
-6.14995248499919,[-7.4265004],4,2.5573056079626904,0.0,0.0,1.0
-5.518674275243885,[-7.82709348],4,2.2032117410752012,0.0,0.0,1.0
