global_reward,step_reward,QoE,buffer_size,rebuffer_event,rate_switch_event,bitrate
-11.133921987017757,[-13.04944653],7,14.986784933612386,0.0,1.0,1.0
-0.8570413240897219,[-2.78929407],4,14.637590528604639,0.0,0.0,1.0
-1.0590029482840175,[-4.56894756],4,14.25977187989854,0.0,0.0,1.0
-3.620091706765258,[-8.10010914],4,13.982532760759696,0.0,0.0,1.0
-4.347856431679679,[-10.80004995],3,14.707309413183907,0.0,1.0,2.0
-2.501662637001649,[-5.86254827],8,15.284083714705027,0.0,0.0,2.0
-6.28008522163543,[-8.04864235],7,13.53259987924917,0.0,1.0,1.0
-4.637055555708708,[-8.62382781],4,13.138272676561146,0.0,0.0,1.0
-4.70231858824148,[-10.2173205],4,12.699972819832702,0.0,0.0,1.0
-3.6397143221248487,[-9.2173205],4,12.29901938878138,0.0,0.0,1.0
-2.921883783885878,[-5.2920623],4,12.025577751783874,0.0,0.0,1.0
-1.1740674743231152,[-3.7381996],4,11.71702449775374,0.0,0.0,1.0
-0.48495577239382814,[-2.83461088],4,11.345731989115272,0.0,0.0,1.0
-4.66046443112851,[-8.95511546],4,10.89306478020198,0.0,0.0,1.0
-3.6043957571768095,[-7.95511546],4,10.461455866764023,0.0,0.0,1.0
-3.759585315867996,[-6.85807446],4,10.117788994618039,0.0,0.0,1.0
-1.8846780353659298,[-5.00619905],4,9.699717824226681,0.0,0.0,1.0
-3.6097549850256887,[-6.56484829],4,9.254752555120543,0.0,0.0,1.0
-3.664751926288018,[-6.86068029],4,8.791399985652653,0.0,0.0,1.0
-1.869508941851997,[-5.42018934],4,8.292456547136766,0.0,0.0,1.0
-4.619447496083556,[-8.24266574],4,7.823335454168204,0.0,0.0,1.0
-4.9832390190657625,[-8.24266574],4,7.396982923153201,0.0,0.0,1.0
-4.5203439124548375,[-8.3258248],4,6.93749545755888,0.0,0.0,1.0
-3.6452711524714214,[-7.3258248],4,6.522693191722143,0.0,0.0,1.0
-3.90582380836374,[-6.93149004],4,6.170599243937872,0.0,0.0,1.0
-4.671308969499792,[-8.13725823],4,5.809582146837678,0.0,0.0,1.0
-3.7768589007075497,[-7.62509823],4,5.422865678863497,0.0,0.0,1.0
-6.274773145975294,[-11.56384947],4,4.982008842298274,0.0,0.0,1.0
-5.0200890320050116,[-8.13883585],4,4.582495094009057,0.0,0.0,1.0
-4.886256213729667,[-9.28644159],4,4.041813911855897,0.0,0.0,1.0
-3.7811713032022065,[-9.87912229],4,3.4069964788559957,0.0,0.0,1.0
-12.987726802740527,[-18.78539451],4,2.8507826141378296,0.0,0.0,1.0
-13.226620081337511,[-18.78539451],4,2.2925798653826868,0.0,0.0,1.0
-7.489258690986661,[-12.31285562],4,1.7918865693731076,0.0,0.0,1.0
-8.962030571121312,[-17.1385466],-1,4,1,0,1
-2.694887634014724,[-5.79702893],4,3.6988969158796285,0.0,0.0,1.0
-2.011885261845927,[-4.93225625],4,3.4385061260372454,0.0,0.0,1.0
-7.338107138577925,[-8.12888309],4,3.1958387201968104,0.0,0.0,1.0
-4.476373555100061,[-6.53753265],3,3.7752827730061336,0.0,1.0,2.0
-4.39517814495089,[-4.22216934],7,2.310991526901881,0.0,1.0,1.0
-5.121134595448813,[-8.34223649],4,2.0156815405477557,0.0,0.0,1.0
-3.883600403450474,[-6.80094889],4,1.7189733003505134,0.0,0.0,1.0
-8.220572651101598,[-15.32842238],-1,4,1,0,1
-2.103743518694759,[-5.66416796],4,3.5106781516413816,0.0,0.0,1.0
-5.020329402129163,[-9.16291324],4,2.991888436826136,0.0,0.0,1.0
-9.104998360240208,[-12.91657788],4,2.617185609009235,0.0,0.0,1.0
-9.069764193646103,[-12.89694363],4,2.093870676501266,0.0,0.0,1.0
-8.575115209602846,[-13.47903681],4,1.6165582705725776,0.0,0.0,1.0
-9.154328406680941,[-18.54168899],-1,4,1,0,1
-9.723412296412556,[-13.14850629],4,4.378691923944653,0.0,0.0,1.0
-9.403285611078617,[-13.89400718],4,4.856153818440007,0.0,0.0,1.0
-4.994645955881158,[-9.4287825],3,5.712537496626244,0.0,1.0,2.0
-9.357541200851813,[-8.304239],8,5.679469111308184,0.0,0.0,2.0
-5.562833811793152,[-3.23562865],8,5.936122442742967,0.0,0.0,2.0
-4.874851949521656,[-3.11641421],7,5.614753734371208,0.0,1.0,1.0
-4.664446267482095,[-6.53333533],4,5.3895175032011515,0.0,0.0,1.0
-4.575195274631227,[-6.54629554],4,5.2204210272185225,0.0,0.0,1.0
-6.020575645305586,[-7.09894655],4,4.938371818426143,0.0,0.0,1.0
-4.575323929670733,[-6.23693584],4,4.579216272796131,0.0,0.0,1.0
-5.280253538349441,[-7.28697089],4,4.243378224312643,0.0,0.0,1.0
-0.8148666430844534,[-3.28697089],4,3.8806152494652286,0.0,0.0,1.0
-5.452457472483139,[-8.89833748],4,3.4716385173617232,0.0,0.0,1.0
-7.9040541694734925,[-10.41052565],4,3.1239549031780154,0.0,0.0,1.0
-1.0430833802658848,[-4.48913388],4,2.7858113487574987,0.0,0.0,1.0
-9.147956643139436,[-11.90011606],4,2.4236548143307024,0.0,0.0,1.0
-9.818000115351518,[-11.86239926],4,2.0530825335410894,0.0,0.0,1.0
-7.875565707993952,[-10.41290245],4,1.776398578478564,0.0,0.0,1.0
-5.908888299138491,[-12.4265004],-1,4,1,0,1
-5.097265725542831,[-7.67619501],4,3.645499246771908,0.0,0.0,1.0
-5.6937413055037585,[-6.7349246],4,3.3472530724065486,0.0,0.0,1.0
-5.274165692508759,[-7.82709348],4,3.0265872988874034,0.0,0.0,1.0
-4.013283588819649,[-7.87946254],3,3.8144254891995586,0.0,1.0,2.0
-5.1386221042009375,[-4.52343604],7,3.380617770104063,0.0,1.0,1.0
-5.523954025840002,[-7.739807],4,3.521543918085077,0.0,0.0,1.0
